"cs_concentration","is_concentration","description","course_id","term","name","prereqs","number","subject"
"CORE","None","This course covers techniques for designing and analyzing algorithms and structures in the context of computer application development. Examples will come from Internet, WWW, database, and computer system applications. Fundamental topics such as running-time analysis, searching and sorting within various structures, divide-and-conquer and dynamic programming will be covered. ","20400","All","Applied Algorithms and Structures","None","421","CSC"
"CORE","None","An introduction to distributed systems. Topics may include: architecture of distributed systems; networking; datagram-oriented and stream-oriented protocols; network programming (for example, the sockets API); remote procedure call and remote method invocation; processes and threads; code migration; software agents; naming of non-mobile and mobile entities; cryptography and security.","20401","All","Distributed Systems I","None","435","CSC"
"CORE","None","Programming paradigms and language concepts: functional programming; comparison of object-oriented languages; type systems for functional and object-oriented languages; runtime systems for functional and object-oriented languages. A variety of programming languages will be used to illustrate concepts, e.g., JavaScript, Ruby, Scala, Scheme.","20402","All","Concepts of Programming Languages","None","447","CSC"
"CORE","None","A core graduate course in database design and implementation. Topics include database implementation and queries in SQL, logical design or relational databases, storage and indexes, database programming, and emerging database models.","20403","All","Database Technologies","None","453","CSC"
"CORE","None","Principle, techniques and tools of object-oriented modeling, design, implementation, and testing of large-scale software systems. Topics include design patterns, application frameworks, architectural design, and the applications in the software development process to improve the extensibility, maintainability, and reliability of software systems.","20404","All","Object-Oriented Software Development","None","450","SE"
"Software and Systems Development","None","This course covers the design and development of modern web applications and their interaction with web services. The primary focus is on client-side web applications using AJAX-techniques to access web services. Possible topics include: HTML5; JavaScript/TypeScript; MVC and single-page application programming models, e.g., AngularJS; programming and security models for browsers; client-side web applications with local storage; data synchronization; HTTP, proxies, and caching; Node.js; RESTful web services.","20405","Winter","Web Applications","CSC 435 and CSC 447","436","CSC"
"Software and Systems Development","None","This course introduces concepts, techniques, technologies and APIs for web application development. The main focus of the course is on the Model-View-Controller design pattern employed by modern full-stack web frameworks. Concepts and techniques covered include client/server programming, database abstraction APIs, and asynchronous javascript. Examples of full-stack MVC frameworks include Ruby-on-Rails (written in Ruby), Django and TurboGears (written in Python).","20406","Fall","Framework for Web Application Development","None","438","CSC"
"Software and Systems Development","None","This course covers core principles of computer security. Topics include : user authentication; access control (discretionary, mandatory, role-based); security auditing; database security; software security, common vulnerabilities, and secure coding practices; malicious software; and operating system security.","20407","Fall","Copmuter Security","None","439","CSC"
"Software and Systems Development","None","An advanced course on operating system design and implementation. Process management and scheduling, memory management, file systems, device drivers, access control, and virtualization will be covered. The emphasis of the course will be on implementing components of a functional operating system.","20408","Winter","Introduction to Operating Systems","None","443","CSC"
"Software and Systems Development","None","Design and structure of high level languages. Lexical scan, top down and bottom up syntactic analysis. Syntax directed translation and LR(k) grammars. ","20409","Winter","Compiler Design","CSC 447","448","CSC"
"Software and Systems Development","None","Analysis and implementation techniques to improve the performance and resource usage of C++ programs. This class will provide low level understanding of C++'s internal behavior that can be exploited to create faster performing software. Analysis of existing software to help identify and remedy execution performance issues related to data layout, processor caching, unintended compiler interactions, algorithmic considerations, data containers and supplied subsystems. Topics include: performance enhancements through SIMD instruction set, dynamic memory usage, caching, implicit behavior, C++ language extensions, algorithms, streaming and profiling.","20410","Spring","Optimized C++","None","461","CSC"
"Software and Systems Development","None","Software architecture of applied C++ concurrency and multithreading fundamentals. Basic threading concepts: process model, threads, stacks, fibers, mutexes, semaphores, atomics and events. Leveraging advanced C++ language features relating to the memory model and the threading support in large multithreaded architectures. Architecting lock-based and lock-free concurrent data structures in applications. Designing a threaded management system to control the access and reuse of threads in applications. Designing multithreaded architecture for real-time performance.","20411","Fall","Optimized C++ Multithreading","CSC 461","462","CSC"
"Software and Systems Development","None","This course introduces the core issues associated with application development for mobile devices using the iOS platform. Students will learn the Swift language, the XCode IDE, UIKit and other frameworks, the elements and architecture of the user interfaces, and more. Students will be exposed to the iOS system architecture including memory management, MVC, delegates and threads. Topics will also include understanding and handling of multi-touch events, gestures, and motion events.","20412","Fall","Mobile Application Development for iOS","None","471","CSC"
"Software and Systems Development","None","This course introduces the core issues associated with application development for mobile devices using the Android platform. Students will learn the Eclipse IDE, frameworks, the elements and architecture of user interfaces, graphics, and more. Students will be exposed to the Android system architecture, including Views, Widgets, Resources, Adapters, Intents and Activities. Topics will also include understanding and handling of threads, multi-touch events, gestures, and motion events.","20413","Winter","Mobile Application Development for Android","None","472","CSC"
"Software and Systems Development","None","An introduction to the field of Robotics. Topics include history of robotics, kinematics, control theory, and sensor theory. A large portion of class time will be lab based, building and programming robots using the Lego Mindstorms NXT Robotics Kit. The programming will be using a C derivative and knowledge of C and general systems concepts is required.","20414","Spring","Introduction to Robotics","None","475","CSC"
"Software and Systems Development","None","This course will focus on the unique aspects, tools, and techniques of developing software applications for limited and embedded devices, such as set-top boxes and smart cards. Formerly CSC 542.","20415","Spring","Software Development for Limited Embedded Devices","SE 450","534","CSC"
"Software and Systems Development","None","An intermediate course on distributed systems. Topics may include: clock synchronization; mutual exclusion; distributed transactions; consistency models; distribution and consistency protocols; failure models; achieving fault tolerance; distributed object-based systems; distributed file systems.","20416","Winter","Distributed Systems II","CSC 435","536","CSC"
"Software and Systems Development","None","This course will cover advanced topics in mobile and wireless application development. The topics covered will be made explicit by the course instructor when the course is offered.","20417","Winter","Mobile Application Development II","CSC 471","540","CSC"
"Software and Systems Development","None","Emphasis on practical problems in implementing compilers, data flow analysis, code optimization, error analysis. Discussion of compiler generators. As a class project, students will write a compiler.","20418","Spring","Advanced Compiler Design","CSC 448","548","CSC"
"Software and Systems Development","None","This is an advanced database course that covers issues in DBMS implementation. Topics covered in this course include: physical data organizations, indexing and hashing, query processing and optimization, database recovery techniques, transaction management, concurrency control, and security.","20419","Fall","Database System Implementation","CSC 453","549","CSC"
"Software and Systems Development","None","Distributed database architecture, distributed database design, distributed query processing, query decomposition and optimization of distributed queries, distributed transaction management and concurrency control, distributed DBMS reliability, distributed database operating systems. Distributed multidatabase systems. Client/Server database systems.","20420","Fall","Distributed Database Systems","CSC 453 and CSC 435","551","CSC"
